measurement_id,jumlah_mobil,jumlah_bus,jumlah_truck,jumlah_kendaraan,jumlah_bobot_kendaraan
227,45,3,6,54,55.8
228,40,3,7,50,52.0
229,42,4,8,54,56.4
230,42,4,9,55,57.6
231,45,6,6,57,59.4
232,42,4,7,53,55.2
233,47,3,4,54,55.4
234,45,5,7,57,59.4
235,48,4,6,58,60.0
236,43,3,10,56,58.6
237,47,5,5,57,59.0
238,45,2,6,53,54.6
239,46,3,4,53,54.4
240,45,5,4,54,55.8
241,48,5,5,58,60.0
242,47,3,7,57,59.0
243,48,1,7,56,57.6
244,46,5,6,57,59.2
245,38,5,7,50,52.4
246,46,5,6,57,59.2
247,50,1,4,55,56.0
248,47,4,6,57,59.0
249,39,4,7,50,52.2
250,45,5,6,56,58.2
251,44,3,6,53,54.8
252,43,4,8,55,57.4
253,50,2,5,57,58.4
254,43,3,9,55,57.4
255,48,3,5,56,57.6
256,40,3,10,53,55.6
257,42,4,5,51,52.8
258,45,3,5,53,54.6
259,54,3,2,59,60.0
260,41,4,6,51,53.0
261,42,4,8,54,56.4
262,37,5,7,49,51.4
263,41,4,8,53,55.4
264,41,5,7,53,55.4
265,43,4,7,54,56.2
266,45,4,7,56,58.2
267,49,4,5,58,59.8
268,41,4,8,53,55.4
269,48,2,7,57,58.8
270,43,2,7,52,53.8
271,42,5,8,55,57.6
272,39,4,9,52,54.6
273,43,3,8,54,56.2
274,43,4,6,53,55.0
275,45,3,7,55,57.0
276,50,3,3,56,57.2
277,41,4,8,53,55.4
278,50,3,5,58,59.6
279,42,3,5,50,51.6
280,39,3,6,48,49.8
281,43,4,5,52,53.8
282,41,5,8,54,56.6
283,39,4,7,50,52.2
284,45,3,8,56,58.2
285,46,4,5,55,56.8
286,38,3,7,48,50.0
287,42,3,7,52,54.0
288,44,3,7,54,56.0
289,44,3,4,51,52.4
290,43,3,4,50,51.4
291,43,2,7,52,53.8
292,45,3,9,57,59.4
293,45,5,6,56,58.2
294,38,5,6,49,51.2
295,46,3,4,53,54.4
296,40,5,7,52,54.4
297,41,4,5,50,51.8
298,42,5,7,54,56.4
299,42,2,4,48,49.2
300,36,3,6,45,46.8
301,44,3,7,54,56.0
302,42,6,5,53,55.2
303,37,4,6,47,49.0
304,42,5,7,54,56.4
305,39,2,7,48,49.8
306,40,2,5,47,48.4
307,44,4,8,56,58.4
308,46,4,5,55,56.8
309,37,4,6,47,49.0
310,41,3,9,53,55.4
311,41,3,7,51,53.0
312,40,2,5,47,48.4
313,42,4,6,52,54.0
314,40,5,4,49,50.8
315,33,3,7,43,45.0
316,42,5,6,53,55.2
317,38,3,7,48,50.0
318,40,5,4,49,50.8
319,40,4,5,49,50.8
320,43,3,4,50,51.4
321,39,3,8,50,52.2
322,44,3,5,52,53.6
323,39,3,4,46,47.4
324,43,4,9,56,58.6
325,39,3,7,49,51.0
326,36,2,5,43,44.4
327,39,5,7,51,53.4
328,39,3,4,46,47.4
329,40,4,3,47,48.4
330,42,3,6,51,52.8
331,37,4,6,47,49.0
332,39,2,4,45,46.2
333,38,3,6,47,48.8
334,38,2,5,45,46.4
335,35,3,5,43,44.6
336,40,2,7,49,50.8
337,43,2,4,49,50.2
338,33,3,2,38,39.0
339,43,3,3,49,50.2
340,35,3,7,45,47.0
341,31,4,4,39,40.6
342,45,5,5,55,57.0
343,40,2,7,49,50.8
344,34,4,7,45,47.2
345,40,3,4,47,48.4
346,34,5,5,44,46.0
347,30,3,6,39,40.8
348,40,1,6,47,48.4
349,40,4,7,51,53.2
350,48,4,6,58,60.0
351,34,3,8,45,47.2
352,35,4,4,43,44.6
353,37,3,8,48,50.2
354,41,5,2,48,49.4
355,36,3,6,45,46.8
356,31,4,4,39,40.6
357,39,4,5,48,49.8
358,35,1,3,39,39.8
359,37,3,3,43,44.2
360,36,4,5,45,46.8
361,38,2,5,45,46.4
362,29,1,7,37,38.6
363,39,3,6,48,49.8
364,41,5,6,52,54.2
365,30,3,8,41,43.2
366,38,2,5,45,46.4
367,35,3,5,43,44.6
368,34,5,5,44,46.0
369,35,4,5,44,45.8
370,39,3,4,46,47.4
371,34,2,5,41,42.4
372,37,5,5,47,49.0
373,36,3,6,45,46.8
374,26,4,5,35,36.8
375,38,3,6,47,48.8
376,33,3,4,40,41.4
377,31,1,5,37,38.2
378,40,1,4,45,46.0
379,33,2,7,42,43.8
380,28,4,5,37,38.8
381,34,3,4,41,42.4
382,35,3,6,44,45.8
383,27,3,5,35,36.6
384,38,1,6,45,46.4
385,37,3,2,42,43.0
386,29,3,6,38,39.8
387,32,4,6,42,44.0
388,31,4,4,39,40.6
389,31,4,2,37,38.2
390,39,3,5,47,48.6
391,33,3,5,41,42.6
392,29,1,5,35,36.2
393,32,4,5,41,42.8
394,33,4,4,41,42.6
395,34,3,3,40,41.2
396,32,4,7,43,45.2
397,34,3,6,43,44.8
398,28,3,4,35,36.4
399,37,4,5,46,47.8
400,33,3,6,42,43.8
401,25,3,5,33,34.6
402,30,3,6,39,40.8
403,33,2,5,40,41.4
404,30,2,5,37,38.4
405,37,1,4,42,43.0
406,27,1,5,33,34.2
407,29,2,3,34,35.0
408,32,3,4,39,40.4
409,26,3,6,35,36.8
410,26,2,5,33,34.4
411,33,1,5,39,40.2
412,26,4,6,36,38.0
413,32,1,3,36,36.8
414,32,3,6,41,42.8
415,29,3,6,38,39.8
416,33,2,5,40,41.4
417,30,3,7,40,42.0
418,27,1,5,33,34.2
419,30,2,3,35,36.0
420,36,3,2,41,42.0
421,29,3,2,34,35.0
422,25,3,5,33,34.6
423,34,4,8,46,48.4
424,30,2,6,38,39.6
425,30,2,5,37,38.4
426,30,3,5,38,39.6
427,37,2,1,40,40.6
428,29,2,5,36,37.4
429,26,1,6,33,34.4
430,26,4,5,35,36.8
431,31,3,2,36,37.0
432,31,2,5,38,39.4
433,32,4,5,41,42.8
434,21,4,7,32,34.2
435,27,3,7,37,39.0
436,28,3,2,33,34.0
437,26,4,4,34,35.6
438,37,5,4,46,47.8
439,27,3,5,35,36.6
440,21,3,4,28,29.4
441,34,2,4,40,41.2
442,28,3,4,35,36.4
443,22,3,5,30,31.6
444,32,2,4,38,39.2
445,28,3,5,36,37.6
446,25,4,3,32,33.4
447,35,3,3,41,42.2
448,24,1,6,31,32.4
449,23,2,5,30,31.4
450,31,2,5,38,39.4
451,29,3,5,37,38.6
452,28,2,5,35,36.4
453,27,2,4,33,34.2
454,34,3,3,40,41.2
455,26,0,4,30,30.8
456,33,3,5,41,42.6
457,21,3,3,27,28.2
458,18,1,5,24,25.2
459,26,2,6,34,35.6
460,28,1,5,34,35.2
461,28,3,1,32,32.8
462,30,2,4,36,37.2
463,27,3,2,32,33.0
464,27,1,5,33,34.2
465,25,3,5,33,34.6
466,29,1,4,34,35.0
467,23,2,5,30,31.4
468,29,4,5,38,39.8
469,26,1,4,31,32.0
470,28,2,2,32,32.8
471,28,3,1,32,32.8
472,21,2,7,30,31.8
473,24,3,4,31,32.4
474,27,4,2,33,34.2
475,25,3,5,33,34.6
476,29,0,2,31,31.4
477,21,2,7,30,31.8
478,33,2,3,38,39.0
479,22,2,4,28,29.2
480,30,3,4,37,38.4
481,26,2,3,31,32.0
482,23,2,3,28,29.0
483,25,0,6,31,32.2
484,26,2,6,34,35.6
485,22,2,3,27,28.0
486,31,2,7,40,41.8
487,21,3,4,28,29.4
488,23,4,3,30,31.4
489,31,2,5,38,39.4
490,26,3,5,34,35.6
491,22,2,1,25,25.6
492,26,4,5,35,36.8
493,23,2,5,30,31.4
494,30,3,1,34,34.8
495,25,3,5,33,34.6
496,22,3,4,29,30.4
497,27,2,4,33,34.2
498,26,2,2,30,30.8
499,24,2,2,28,28.8
500,21,2,2,25,25.8
501,29,4,3,36,37.4
502,26,2,5,33,34.4
503,40,3,7,50,52.0
504,24,3,3,30,31.2
505,38,2,6,46,47.6
506,26,3,3,32,33.2
507,24,1,3,28,28.8
508,34,2,4,40,41.2
509,25,2,2,29,29.8
510,23,3,4,30,31.4
511,24,3,6,33,34.8
512,22,2,3,27,28.0
513,23,2,4,29,30.2
514,18,4,7,29,31.2
515,24,1,3,28,28.8
516,33,1,2,36,36.6
517,25,2,5,32,33.4
518,26,1,3,30,30.8
519,26,1,4,31,32.0
520,25,2,5,32,33.4
521,23,1,1,25,25.4
522,33,3,3,39,40.2
523,25,2,3,30,31.0
524,27,0,1,28,28.2
525,26,1,4,31,32.0
526,24,2,4,30,31.2
527,24,1,5,30,31.2
528,21,3,7,31,33.0
529,24,2,4,30,31.2
530,24,1,3,28,28.8
531,20,3,4,27,28.4
532,19,2,5,26,27.4
533,25,1,3,29,29.8
534,19,2,5,26,27.4
535,23,0,4,27,27.8
536,21,3,2,26,27.0
537,27,2,3,32,33.0
538,23,2,4,29,30.2
539,23,1,4,28,29.0
540,26,0,4,30,30.8
541,22,0,4,26,26.8
542,26,2,3,31,32.0
543,30,2,4,36,37.2
544,25,4,5,34,35.8
545,26,0,2,28,28.4
546,25,3,3,31,32.2
547,23,1,4,28,29.0
548,24,1,1,26,26.4
549,23,1,4,28,29.0
550,21,1,3,25,25.8
551,24,1,3,28,28.8
552,26,1,1,28,28.4
553,22,1,4,27,28.0
554,17,2,4,23,24.2
555,29,1,3,33,33.8
556,23,2,3,28,29.0
557,19,3,4,26,27.4
558,26,2,6,34,35.6
559,21,1,4,26,27.0
560,24,2,3,29,30.0
561,24,3,4,31,32.4
562,27,2,3,32,33.0
563,25,1,3,29,29.8
564,20,1,4,25,26.0
565,26,2,4,32,33.2
566,23,2,2,27,27.8
567,21,2,4,27,28.2
568,29,0,2,31,31.4
569,20,1,2,23,23.6
570,27,1,4,32,33.0
571,23,2,4,29,30.2
572,21,3,3,27,28.2
573,25,3,4,32,33.4
574,27,3,5,35,36.6
575,27,3,5,35,36.6
576,28,2,2,32,32.8
577,22,3,6,31,32.8
578,29,1,4,34,35.0
579,23,1,7,31,32.6
580,28,2,3,33,34.0
581,25,1,3,29,29.8
582,22,4,3,29,30.4
583,34,4,5,43,44.8
584,24,2,3,29,30.0
585,22,1,5,28,29.2
586,28,1,3,32,32.8
587,23,2,3,28,29.0
588,22,2,6,30,31.6
589,22,1,2,25,25.6
590,20,4,3,27,28.4
591,21,2,5,28,29.4
592,19,1,5,25,26.2
593,30,2,3,35,36.0
594,25,2,3,30,31.0
595,26,2,1,29,29.6
596,20,2,3,25,26.0
597,23,0,6,29,30.2
598,25,1,4,30,31.0
599,21,1,5,27,28.2
600,22,2,4,28,29.2
601,26,2,7,35,36.8
602,27,0,6,33,34.2
603,20,3,5,28,29.6
604,25,1,5,31,32.2
605,24,2,2,28,28.8
606,27,2,4,33,34.2
607,24,3,3,30,31.2
608,22,2,4,28,29.2
609,25,2,5,32,33.4
610,23,1,2,26,26.6
611,16,2,3,21,22.0
612,23,1,4,28,29.0
613,27,3,2,32,33.0
614,19,3,3,25,26.2
615,24,2,3,29,30.0
616,23,2,3,28,29.0
617,25,1,2,28,28.6
618,25,1,3,29,29.8
619,23,1,4,28,29.0
620,15,1,4,20,21.0
621,23,1,4,28,29.0
622,23,3,4,30,31.4
623,23,1,4,28,29.0
624,25,2,5,32,33.4
625,28,2,4,34,35.2
626,24,2,2,28,28.8
627,27,2,3,32,33.0
628,27,1,3,31,31.8
629,19,2,2,23,23.8
630,24,2,3,29,30.0
631,24,1,4,29,30.0
632,24,2,3,29,30.0
633,23,2,3,28,29.0
634,27,3,3,33,34.2
635,20,1,3,24,24.8
636,20,1,3,24,24.8
637,22,3,5,30,31.6
638,19,2,4,25,26.2
639,22,1,4,27,28.0
640,25,2,2,29,29.8
641,22,1,3,26,26.8
642,24,4,1,29,30.0
643,27,2,3,32,33.0
644,19,3,3,25,26.2
645,24,2,3,29,30.0
646,20,3,1,24,24.8
647,19,2,5,26,27.4
648,24,1,5,30,31.2
649,23,1,3,27,27.8
650,22,3,1,26,26.8
651,25,1,5,31,32.2
652,21,1,6,28,29.4
653,22,2,3,27,28.0
654,26,1,3,30,30.8
655,21,2,4,27,28.2
656,21,2,3,26,27.0
657,26,2,1,29,29.6
658,23,2,3,28,29.0
659,23,2,1,26,26.6
660,25,3,5,33,34.6
661,28,1,4,33,34.0
662,28,2,5,35,36.4
663,26,2,4,32,33.2
664,23,2,5,30,31.4
665,21,0,3,24,24.6
666,25,1,5,31,32.2
667,26,2,6,34,35.6
668,21,1,4,26,27.0
669,21,2,4,27,28.2
670,16,2,3,21,22.0
671,20,1,2,23,23.6
672,22,1,4,27,28.0
673,17,2,2,21,21.8
674,22,2,4,28,29.2
675,24,1,3,28,28.8
676,26,2,2,30,30.8
677,24,1,3,28,28.8
678,20,1,5,26,27.2
679,20,4,4,28,29.6
680,23,3,0,26,26.6
681,23,2,2,27,27.8
682,22,2,3,27,28.0
683,19,2,2,23,23.8
684,28,0,3,31,31.6
685,35,4,5,44,45.8
686,25,0,3,28,28.6
687,25,0,3,28,28.6
688,19,4,4,27,28.6
689,22,3,4,29,30.4
690,23,2,4,29,30.2
691,24,2,2,28,28.8
692,17,3,2,22,23.0
693,20,3,5,28,29.6
694,22,2,5,29,30.4
695,24,2,2,28,28.8
696,23,1,4,28,29.0
697,26,2,2,30,30.8
698,25,1,3,29,29.8
699,25,1,6,32,33.4
700,24,1,2,27,27.6
701,26,2,3,31,32.0
702,25,3,5,33,34.6
703,24,3,6,33,34.8
704,27,2,3,32,33.0
705,23,1,1,25,25.4
706,28,1,2,31,31.6
707,21,0,4,25,25.8
708,21,2,3,26,27.0
709,38,3,6,47,48.8
710,23,1,2,26,26.6
711,24,2,2,28,28.8
712,23,0,4,27,27.8
713,24,2,3,29,30.0
714,25,3,4,32,33.4
715,26,1,5,32,33.2
716,19,2,4,25,26.2
717,28,2,4,34,35.2
718,28,2,2,32,32.8
719,28,5,5,38,40.0
720,24,1,5,30,31.2
721,22,1,1,24,24.4
722,25,2,1,28,28.6
723,26,1,4,31,32.0
724,25,1,4,30,31.0
725,23,2,4,29,30.2
726,21,2,3,26,27.0
727,26,2,4,32,33.2
728,23,2,3,28,29.0
729,26,3,3,32,33.2
730,24,1,4,29,30.0
731,21,2,0,23,23.4
732,22,2,7,31,32.8
733,23,1,4,28,29.0
734,17,1,2,20,20.6
735,28,2,3,33,34.0
736,22,3,3,28,29.2
737,28,4,3,35,36.4
738,25,3,4,32,33.4
739,27,1,4,32,33.0
740,16,3,1,20,20.8
741,19,3,4,26,27.4
742,26,1,5,32,33.2
743,18,1,5,24,25.2
744,19,3,2,24,25.0
745,24,1,3,28,28.8
746,16,2,5,23,24.4
747,30,2,1,33,33.6
748,20,2,6,28,29.6
749,23,1,3,27,27.8
750,23,2,5,30,31.4
751,23,2,6,31,32.6
752,20,2,3,25,26.0
753,24,2,3,29,30.0
754,22,2,5,29,30.4
755,23,2,2,27,27.8
756,41,4,6,51,53.0
757,20,3,5,28,29.6
758,21,1,1,23,23.4
759,22,1,4,27,28.0
760,23,0,3,26,26.6
761,18,2,2,22,22.8
762,21,1,5,27,28.2
763,18,3,3,24,25.2
764,19,1,5,25,26.2
765,21,3,4,28,29.4
766,27,1,4,32,33.0
767,14,3,4,21,22.4
768,26,3,4,33,34.4
769,24,1,3,28,28.8
770,22,2,2,26,26.8
771,24,1,6,31,32.4
772,16,3,6,25,26.8
773,19,1,3,23,23.8
774,25,2,2,29,29.8
775,23,3,3,29,30.2
776,21,2,3,26,27.0
777,22,3,4,29,30.4
778,22,2,4,28,29.2
779,20,2,2,24,24.8
780,25,2,2,29,29.8
781,22,1,3,26,26.8
782,18,3,4,25,26.4
783,28,2,3,33,34.0
784,25,2,4,31,32.2
785,23,3,2,28,29.0
786,26,3,3,32,33.2
787,23,2,3,28,29.0
788,23,3,6,32,33.8
789,24,1,3,28,28.8
790,21,1,4,26,27.0
791,19,1,3,23,23.8
792,25,3,3,31,32.2
793,18,2,2,22,22.8
794,29,2,1,32,32.6
795,23,1,5,29,30.2
796,24,3,3,30,31.2
797,24,1,2,27,27.6
798,23,2,4,29,30.2
799,28,3,2,33,34.0
800,25,2,3,30,31.0
801,25,3,4,32,33.4
802,28,1,1,30,30.4
803,23,1,4,28,29.0
804,28,1,4,33,34.0
805,23,1,2,26,26.6
806,18,2,3,23,24.0
807,24,3,4,31,32.4
808,28,2,3,33,34.0
809,22,2,3,27,28.0
810,26,1,3,30,30.8
811,25,1,3,29,29.8
812,19,0,2,21,21.4
813,25,2,1,28,28.6
814,28,1,2,31,31.6
815,25,0,4,29,29.8
816,26,2,2,30,30.8
817,22,2,1,25,25.6
818,25,3,3,31,32.2
819,26,1,2,29,29.6
820,24,2,1,27,27.6
821,21,1,4,26,27.0
822,23,2,2,27,27.8
823,19,3,3,25,26.2
824,22,3,2,27,28.0
825,25,1,5,31,32.2
826,24,1,3,28,28.8
827,23,3,2,28,29.0
828,20,3,3,26,27.2
829,22,2,3,27,28.0
830,21,2,3,26,27.0
831,26,1,5,32,33.2
832,23,1,5,29,30.2
833,20,1,2,23,23.6
834,24,3,4,31,32.4
835,28,3,5,36,37.6
836,25,2,2,29,29.8
837,25,2,3,30,31.0
838,22,2,5,29,30.4
839,26,2,1,29,29.6
840,28,1,2,31,31.6
841,22,0,5,27,28.0
842,26,1,2,29,29.6
843,21,3,2,26,27.0
844,23,1,4,28,29.0
845,17,2,3,22,23.0
846,28,3,2,33,34.0
847,26,1,3,30,30.8
848,24,4,1,29,30.0
849,23,2,4,29,30.2
850,23,1,5,29,30.2
851,26,0,2,28,28.4
852,25,3,4,32,33.4
853,19,0,3,22,22.6
854,17,2,3,22,23.0
855,28,2,3,33,34.0
856,20,2,6,28,29.6
857,26,1,2,29,29.6
858,24,2,6,32,33.6
859,27,2,3,32,33.0
860,30,3,4,37,38.4
861,27,1,2,30,30.6
862,23,1,4,28,29.0
863,21,2,2,25,25.8
864,23,2,4,29,30.2
865,21,1,4,26,27.0
866,22,2,4,28,29.2
867,22,2,2,26,26.8
868,19,3,3,25,26.2
869,23,1,5,29,30.2
870,24,1,4,29,30.0
871,25,0,4,29,29.8
872,18,1,4,23,24.0
873,24,2,3,29,30.0
874,21,1,5,27,28.2
875,23,3,3,29,30.2
876,25,2,5,32,33.4
877,23,2,2,27,27.8
878,24,0,2,26,26.4
879,25,3,4,32,33.4
880,18,2,2,22,22.8
881,21,1,2,24,24.6
882,28,1,5,34,35.2
883,27,2,4,33,34.2
884,23,3,3,29,30.2
885,26,3,5,34,35.6
886,24,1,5,30,31.2
887,23,1,3,27,27.8
888,30,1,3,34,34.8
889,20,2,3,25,26.0
890,14,2,6,22,23.6
891,23,0,4,27,27.8
892,20,2,6,28,29.6
893,23,2,3,28,29.0
894,29,2,9,40,42.2
895,23,3,3,29,30.2
896,20,3,4,27,28.4
897,31,2,2,35,35.8
898,21,1,2,24,24.6
899,21,1,5,27,28.2
900,37,1,2,40,40.6
901,25,2,3,30,31.0
902,22,1,2,25,25.6
903,26,2,3,31,32.0
904,26,0,5,31,32.0
905,22,4,4,30,31.6
906,24,3,6,33,34.8
907,22,2,2,26,26.8
908,22,0,3,25,25.6
909,28,2,4,34,35.2
910,25,1,4,30,31.0
911,24,1,3,28,28.8
912,22,2,3,27,28.0
913,23,1,3,27,27.8
914,21,3,6,30,31.8
915,25,2,1,28,28.6
916,18,2,4,24,25.2
917,26,1,3,30,30.8
918,23,3,3,29,30.2
919,20,2,5,27,28.4
920,24,2,1,27,27.6
921,29,3,3,35,36.2
922,23,1,2,26,26.6
923,24,2,2,28,28.8
924,23,2,2,27,27.8
925,34,4,7,45,47.2
926,17,1,3,21,21.8
927,24,1,2,27,27.6
928,24,3,3,30,31.2
929,21,1,3,25,25.8
930,22,2,5,29,30.4
931,23,2,3,28,29.0
932,21,3,4,28,29.4
933,27,1,3,31,31.8
934,27,1,6,34,35.4
935,27,2,4,33,34.2
936,28,1,3,32,32.8
937,23,2,3,28,29.0
938,26,3,4,33,34.4
939,22,3,6,31,32.8
940,23,2,3,28,29.0
941,21,2,2,25,25.8
942,23,0,3,26,26.6
943,24,2,4,30,31.2
944,29,1,2,32,32.6
945,26,1,3,30,30.8
946,24,1,5,30,31.2
947,24,1,3,28,28.8
948,24,3,5,32,33.6
949,21,1,5,27,28.2
950,22,1,6,29,30.4
951,23,3,2,28,29.0
952,41,5,7,53,55.4
953,25,1,3,29,29.8
954,21,3,1,25,25.8
955,21,2,3,26,27.0
956,25,1,1,27,27.4
957,27,2,3,32,33.0
958,24,2,3,29,30.0
959,19,2,4,25,26.2
960,25,3,5,33,34.6
961,22,3,7,32,34.0
962,25,2,3,30,31.0
963,21,4,3,28,29.4
964,23,4,3,30,31.4
965,22,1,3,26,26.8
966,20,3,3,26,27.2
967,27,2,3,32,33.0
968,20,1,3,24,24.8
969,27,2,1,30,30.6
970,24,2,6,32,33.6
971,18,2,3,23,24.0
972,28,0,3,31,31.6
973,24,3,5,32,33.6
974,17,1,3,21,21.8
975,27,3,3,33,34.2
976,22,3,4,29,30.4
977,26,2,4,32,33.2
978,24,2,3,29,30.0
979,26,3,4,33,34.4
980,25,2,2,29,29.8
981,24,1,3,28,28.8
982,26,2,1,29,29.6
983,21,3,3,27,28.2
984,26,1,5,32,33.2
985,26,1,2,29,29.6
986,18,2,2,22,22.8
987,22,2,5,29,30.4
988,18,2,2,22,22.8
989,23,2,2,27,27.8
990,23,2,5,30,31.4
991,21,2,5,28,29.4
