id,nama_tol,lokasi,timestamp,jumlah_mobil,jumlah_bus,jumlah_truck,jumlah_kendaraan,jumlah_bobot_kendaraan,congestion_index,status,skip_reason
240,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:19:00,46,6,10,62,65.2,1.087,High,"line 241: congestion_index out of [0,1]: 1.087"
246,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:21:00,48,5,6,59,61.2,1.02,High,"line 247: congestion_index out of [0,1]: 1.02"
247,Tol JORR,KM 30-33,2026-02-06 07:22:00,43,3,12,58,61.0,1.017,High,"line 248: congestion_index out of [0,1]: 1.017"
248,Tol Jagorawi,KM 10-13,2026-02-06 07:22:00,47,5,6,58,60.2,1.003,High,"line 249: congestion_index out of [0,1]: 1.003"
249,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:22:00,54,4,5,63,64.8,1.08,High,"line 250: congestion_index out of [0,1]: 1.08"
250,Tol JORR,KM 30-33,2026-02-06 07:23:00,51,4,5,60,61.8,1.03,High,"line 251: congestion_index out of [0,1]: 1.03"
252,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:23:00,50,3,7,60,62.0,1.033,High,"line 253: congestion_index out of [0,1]: 1.033"
254,Tol Jagorawi,KM 10-13,2026-02-06 07:24:00,51,4,5,60,61.8,1.03,High,"line 255: congestion_index out of [0,1]: 1.03"
255,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:24:00,52,3,10,65,67.6,1.127,High,"line 256: congestion_index out of [0,1]: 1.127"
258,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:25:00,54,3,5,62,63.6,1.06,High,"line 259: congestion_index out of [0,1]: 1.06"
261,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:26:00,52,3,6,61,62.8,1.047,High,"line 262: congestion_index out of [0,1]: 1.047"
262,Tol JORR,KM 30-33,2026-02-06 07:27:00,47,2,10,59,61.4,1.023,High,"line 263: congestion_index out of [0,1]: 1.023"
264,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:27:00,49,6,8,63,65.8,1.097,High,"line 265: congestion_index out of [0,1]: 1.097"
265,Tol JORR,KM 30-33,2026-02-06 07:28:00,50,3,6,59,60.8,1.013,High,"line 266: congestion_index out of [0,1]: 1.013"
267,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:28:00,51,4,9,64,66.6,1.11,High,"line 268: congestion_index out of [0,1]: 1.11"
268,Tol JORR,KM 30-33,2026-02-06 07:29:00,47,3,9,59,61.4,1.023,High,"line 269: congestion_index out of [0,1]: 1.023"
269,Tol Jagorawi,KM 10-13,2026-02-06 07:29:00,47,5,7,59,61.4,1.023,High,"line 270: congestion_index out of [0,1]: 1.023"
270,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:29:00,47,4,9,60,62.6,1.043,High,"line 271: congestion_index out of [0,1]: 1.043"
271,Tol JORR,KM 30-33,2026-02-06 07:30:00,51,3,9,63,65.4,1.09,High,"line 272: congestion_index out of [0,1]: 1.09"
273,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:30:00,53,3,7,63,65.0,1.083,High,"line 274: congestion_index out of [0,1]: 1.083"
276,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:31:00,51,3,7,61,63.0,1.05,High,"line 277: congestion_index out of [0,1]: 1.05"
279,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:32:00,52,3,5,60,61.6,1.027,High,"line 280: congestion_index out of [0,1]: 1.027"
280,Tol JORR,KM 30-33,2026-02-06 07:33:00,46,5,9,60,62.8,1.047,High,"line 281: congestion_index out of [0,1]: 1.047"
282,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:33:00,50,5,6,61,63.2,1.053,High,"line 283: congestion_index out of [0,1]: 1.053"
284,Tol Jagorawi,KM 10-13,2026-02-06 07:34:00,47,3,9,59,61.4,1.023,High,"line 285: congestion_index out of [0,1]: 1.023"
288,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:35:00,55,4,8,67,69.4,1.157,High,"line 289: congestion_index out of [0,1]: 1.157"
291,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:36:00,47,5,8,60,62.6,1.043,High,"line 292: congestion_index out of [0,1]: 1.043"
292,Tol JORR,KM 30-33,2026-02-06 07:37:00,50,4,6,60,62.0,1.033,High,"line 293: congestion_index out of [0,1]: 1.033"
297,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:38:00,50,3,7,60,62.0,1.033,High,"line 298: congestion_index out of [0,1]: 1.033"
300,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:39:00,51,4,6,61,63.0,1.05,High,"line 301: congestion_index out of [0,1]: 1.05"
303,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:40:00,48,3,8,59,61.2,1.02,High,"line 304: congestion_index out of [0,1]: 1.02"
306,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:41:00,47,6,8,61,63.8,1.063,High,"line 307: congestion_index out of [0,1]: 1.063"
309,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:42:00,48,4,10,62,64.8,1.08,High,"line 310: congestion_index out of [0,1]: 1.08"
310,Tol JORR,KM 30-33,2026-02-06 07:43:00,46,6,10,62,65.2,1.087,High,"line 311: congestion_index out of [0,1]: 1.087"
312,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:43:00,48,5,7,60,62.4,1.04,High,"line 313: congestion_index out of [0,1]: 1.04"
315,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:44:00,47,4,9,60,62.6,1.043,High,"line 316: congestion_index out of [0,1]: 1.043"
318,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:45:00,44,5,9,58,60.8,1.013,High,"line 319: congestion_index out of [0,1]: 1.013"
322,Tol JORR,KM 30-33,2026-02-06 07:47:00,47,4,7,58,60.2,1.003,High,"line 323: congestion_index out of [0,1]: 1.003"
324,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:47:00,56,5,10,71,74.0,1.233,High,"line 325: congestion_index out of [0,1]: 1.233"
326,Tol Jagorawi,KM 10-13,2026-02-06 07:48:00,48,4,9,61,63.6,1.06,High,"line 327: congestion_index out of [0,1]: 1.06"
327,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:48:00,50,4,5,59,60.8,1.013,High,"line 328: congestion_index out of [0,1]: 1.013"
328,Tol JORR,KM 30-33,2026-02-06 07:49:00,49,3,7,59,61.0,1.017,High,"line 329: congestion_index out of [0,1]: 1.017"
330,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:49:00,53,3,9,65,67.4,1.123,High,"line 331: congestion_index out of [0,1]: 1.123"
333,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:50:00,48,5,8,61,63.6,1.06,High,"line 334: congestion_index out of [0,1]: 1.06"
336,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:51:00,48,3,9,60,62.4,1.04,High,"line 337: congestion_index out of [0,1]: 1.04"
339,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:52:00,51,2,9,62,64.2,1.07,High,"line 340: congestion_index out of [0,1]: 1.07"
342,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:53:00,52,2,7,61,62.8,1.047,High,"line 343: congestion_index out of [0,1]: 1.047"
345,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:54:00,47,5,8,60,62.6,1.043,High,"line 346: congestion_index out of [0,1]: 1.043"
352,Tol JORR,KM 30-33,2026-02-06 07:57:00,45,5,8,58,60.6,1.01,High,"line 353: congestion_index out of [0,1]: 1.01"
354,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:57:00,49,4,6,59,61.0,1.017,High,"line 355: congestion_index out of [0,1]: 1.017"
357,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 07:58:00,51,4,7,62,64.2,1.07,High,"line 358: congestion_index out of [0,1]: 1.07"
366,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 08:01:00,51,3,5,59,60.6,1.01,High,"line 367: congestion_index out of [0,1]: 1.01"
399,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 08:12:00,54,5,9,68,70.8,1.18,High,"line 400: congestion_index out of [0,1]: 1.18"
1777,Tol JORR,KM 30-33,2026-02-06 15:52:00,52,5,9,66,68.8,1.147,High,"line 1778: congestion_index out of [0,1]: 1.147"
1822,Tol JORR,KM 30-33,2026-02-06 16:07:00,45,5,8,58,60.6,1.01,High,"line 1823: congestion_index out of [0,1]: 1.01"
1827,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:08:00,61,5,4,70,71.8,1.197,High,"line 1828: congestion_index out of [0,1]: 1.197"
1840,Tol JORR,KM 30-33,2026-02-06 16:13:00,53,2,6,61,62.6,1.043,High,"line 1841: congestion_index out of [0,1]: 1.043"
1843,Tol JORR,KM 30-33,2026-02-06 16:14:00,49,3,9,61,63.4,1.057,High,"line 1844: congestion_index out of [0,1]: 1.057"
1846,Tol JORR,KM 30-33,2026-02-06 16:15:00,50,4,6,60,62.0,1.033,High,"line 1847: congestion_index out of [0,1]: 1.033"
1849,Tol JORR,KM 30-33,2026-02-06 16:16:00,48,6,5,59,61.2,1.02,High,"line 1850: congestion_index out of [0,1]: 1.02"
1855,Tol JORR,KM 30-33,2026-02-06 16:18:00,51,4,5,60,61.8,1.03,High,"line 1856: congestion_index out of [0,1]: 1.03"
1861,Tol JORR,KM 30-33,2026-02-06 16:20:00,48,5,6,59,61.2,1.02,High,"line 1862: congestion_index out of [0,1]: 1.02"
1864,Tol JORR,KM 30-33,2026-02-06 16:21:00,46,5,8,59,61.6,1.027,High,"line 1865: congestion_index out of [0,1]: 1.027"
1867,Tol JORR,KM 30-33,2026-02-06 16:22:00,46,4,9,59,61.6,1.027,High,"line 1868: congestion_index out of [0,1]: 1.027"
1870,Tol JORR,KM 30-33,2026-02-06 16:23:00,48,3,8,59,61.2,1.02,High,"line 1871: congestion_index out of [0,1]: 1.02"
1876,Tol JORR,KM 30-33,2026-02-06 16:25:00,46,3,10,59,61.6,1.027,High,"line 1877: congestion_index out of [0,1]: 1.027"
1879,Tol JORR,KM 30-33,2026-02-06 16:26:00,47,5,6,58,60.2,1.003,High,"line 1880: congestion_index out of [0,1]: 1.003"
1881,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:26:00,47,6,7,60,62.6,1.043,High,"line 1882: congestion_index out of [0,1]: 1.043"
1885,Tol JORR,KM 30-33,2026-02-06 16:28:00,56,5,9,70,72.8,1.213,High,"line 1886: congestion_index out of [0,1]: 1.213"
1888,Tol JORR,KM 30-33,2026-02-06 16:29:00,46,3,9,58,60.4,1.007,High,"line 1889: congestion_index out of [0,1]: 1.007"
1891,Tol JORR,KM 30-33,2026-02-06 16:30:00,49,4,7,60,62.2,1.037,High,"line 1892: congestion_index out of [0,1]: 1.037"
1894,Tol JORR,KM 30-33,2026-02-06 16:31:00,49,5,6,60,62.2,1.037,High,"line 1895: congestion_index out of [0,1]: 1.037"
1897,Tol JORR,KM 30-33,2026-02-06 16:32:00,68,4,7,79,81.2,1.353,High,"line 1898: congestion_index out of [0,1]: 1.353"
1903,Tol JORR,KM 30-33,2026-02-06 16:34:00,47,5,8,60,62.6,1.043,High,"line 1904: congestion_index out of [0,1]: 1.043"
1905,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:34:00,54,4,9,67,69.6,1.16,High,"line 1906: congestion_index out of [0,1]: 1.16"
1906,Tol JORR,KM 30-33,2026-02-06 16:35:00,51,4,5,60,61.8,1.03,High,"line 1907: congestion_index out of [0,1]: 1.03"
1909,Tol JORR,KM 30-33,2026-02-06 16:36:00,49,5,7,61,63.4,1.057,High,"line 1910: congestion_index out of [0,1]: 1.057"
1910,Tol Jagorawi,KM 10-13,2026-02-06 16:36:00,53,4,8,65,67.4,1.123,High,"line 1911: congestion_index out of [0,1]: 1.123"
1912,Tol JORR,KM 30-33,2026-02-06 16:37:00,45,4,9,58,60.6,1.01,High,"line 1913: congestion_index out of [0,1]: 1.01"
1913,Tol Jagorawi,KM 10-13,2026-02-06 16:37:00,50,4,5,59,60.8,1.013,High,"line 1914: congestion_index out of [0,1]: 1.013"
1914,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:37:00,58,5,8,71,73.6,1.227,High,"line 1915: congestion_index out of [0,1]: 1.227"
1915,Tol JORR,KM 30-33,2026-02-06 16:38:00,52,4,8,64,66.4,1.107,High,"line 1916: congestion_index out of [0,1]: 1.107"
1918,Tol JORR,KM 30-33,2026-02-06 16:39:00,47,4,8,59,61.4,1.023,High,"line 1919: congestion_index out of [0,1]: 1.023"
1920,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:39:00,50,3,6,59,60.8,1.013,High,"line 1921: congestion_index out of [0,1]: 1.013"
1921,Tol JORR,KM 30-33,2026-02-06 16:40:00,56,3,6,65,66.8,1.113,High,"line 1922: congestion_index out of [0,1]: 1.113"
1924,Tol JORR,KM 30-33,2026-02-06 16:41:00,50,3,10,63,65.6,1.093,High,"line 1925: congestion_index out of [0,1]: 1.093"
1927,Tol JORR,KM 30-33,2026-02-06 16:42:00,46,3,10,59,61.6,1.027,High,"line 1928: congestion_index out of [0,1]: 1.027"
1930,Tol JORR,KM 30-33,2026-02-06 16:43:00,51,3,9,63,65.4,1.09,High,"line 1931: congestion_index out of [0,1]: 1.09"
1931,Tol Jagorawi,KM 10-13,2026-02-06 16:43:00,47,5,7,59,61.4,1.023,High,"line 1932: congestion_index out of [0,1]: 1.023"
1933,Tol JORR,KM 30-33,2026-02-06 16:44:00,49,2,9,60,62.2,1.037,High,"line 1934: congestion_index out of [0,1]: 1.037"
1936,Tol JORR,KM 30-33,2026-02-06 16:45:00,49,2,10,61,63.4,1.057,High,"line 1937: congestion_index out of [0,1]: 1.057"
1939,Tol JORR,KM 30-33,2026-02-06 16:46:00,46,3,10,59,61.6,1.027,High,"line 1940: congestion_index out of [0,1]: 1.027"
1941,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:46:00,52,2,7,61,62.8,1.047,High,"line 1942: congestion_index out of [0,1]: 1.047"
1942,Tol JORR,KM 30-33,2026-02-06 16:47:00,50,3,8,61,63.2,1.053,High,"line 1943: congestion_index out of [0,1]: 1.053"
1944,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:47:00,49,3,9,61,63.4,1.057,High,"line 1945: congestion_index out of [0,1]: 1.057"
1945,Tol JORR,KM 30-33,2026-02-06 16:48:00,56,2,6,64,65.6,1.093,High,"line 1946: congestion_index out of [0,1]: 1.093"
1947,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:48:00,47,3,8,58,60.2,1.003,High,"line 1948: congestion_index out of [0,1]: 1.003"
1950,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:49:00,47,5,6,58,60.2,1.003,High,"line 1951: congestion_index out of [0,1]: 1.003"
1951,Tol JORR,KM 30-33,2026-02-06 16:50:00,45,5,9,59,61.8,1.03,High,"line 1952: congestion_index out of [0,1]: 1.03"
1954,Tol JORR,KM 30-33,2026-02-06 16:51:00,65,4,9,78,80.6,1.343,High,"line 1955: congestion_index out of [0,1]: 1.343"
1957,Tol JORR,KM 30-33,2026-02-06 16:52:00,51,3,6,60,61.8,1.03,High,"line 1958: congestion_index out of [0,1]: 1.03"
1963,Tol JORR,KM 30-33,2026-02-06 16:54:00,50,2,9,61,63.2,1.053,High,"line 1964: congestion_index out of [0,1]: 1.053"
1965,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:54:00,44,5,9,58,60.8,1.013,High,"line 1966: congestion_index out of [0,1]: 1.013"
1966,Tol JORR,KM 30-33,2026-02-06 16:55:00,53,4,6,63,65.0,1.083,High,"line 1967: congestion_index out of [0,1]: 1.083"
1968,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:55:00,48,6,10,64,67.2,1.12,High,"line 1969: congestion_index out of [0,1]: 1.12"
1972,Tol JORR,KM 30-33,2026-02-06 16:57:00,46,3,9,58,60.4,1.007,High,"line 1973: congestion_index out of [0,1]: 1.007"
1974,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:57:00,43,6,10,59,62.2,1.037,High,"line 1975: congestion_index out of [0,1]: 1.037"
1975,Tol JORR,KM 30-33,2026-02-06 16:58:00,52,5,7,64,66.4,1.107,High,"line 1976: congestion_index out of [0,1]: 1.107"
1977,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:58:00,46,5,9,60,62.8,1.047,High,"line 1978: congestion_index out of [0,1]: 1.047"
1978,Tol JORR,KM 30-33,2026-02-06 16:59:00,46,5,7,58,60.4,1.007,High,"line 1979: congestion_index out of [0,1]: 1.007"
1980,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 16:59:00,46,5,8,59,61.6,1.027,High,"line 1981: congestion_index out of [0,1]: 1.027"
1981,Tol JORR,KM 30-33,2026-02-06 17:00:00,50,4,8,62,64.4,1.073,High,"line 1982: congestion_index out of [0,1]: 1.073"
1984,Tol JORR,KM 30-33,2026-02-06 17:01:00,54,3,5,62,63.6,1.06,High,"line 1985: congestion_index out of [0,1]: 1.06"
1990,Tol JORR,KM 30-33,2026-02-06 17:03:00,55,2,4,61,62.2,1.037,High,"line 1991: congestion_index out of [0,1]: 1.037"
1993,Tol JORR,KM 30-33,2026-02-06 17:04:00,50,3,8,61,63.2,1.053,High,"line 1994: congestion_index out of [0,1]: 1.053"
1996,Tol JORR,KM 30-33,2026-02-06 17:05:00,45,6,10,61,64.2,1.07,High,"line 1997: congestion_index out of [0,1]: 1.07"
2005,Tol JORR,KM 30-33,2026-02-06 17:08:00,48,4,7,59,61.2,1.02,High,"line 2006: congestion_index out of [0,1]: 1.02"
2008,Tol JORR,KM 30-33,2026-02-06 17:09:00,47,5,7,59,61.4,1.023,High,"line 2009: congestion_index out of [0,1]: 1.023"
2029,Tol JORR,KM 30-33,2026-02-06 17:16:00,47,1,10,58,60.2,1.003,High,"line 2030: congestion_index out of [0,1]: 1.003"
2044,Tol JORR,KM 30-33,2026-02-06 17:21:00,48,4,7,59,61.2,1.02,High,"line 2045: congestion_index out of [0,1]: 1.02"
2049,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 17:22:00,55,4,7,66,68.2,1.137,High,"line 2050: congestion_index out of [0,1]: 1.137"
2087,Tol Jagorawi,KM 10-13,2026-02-06 17:35:00,47,5,10,62,65.0,1.083,High,"line 2088: congestion_index out of [0,1]: 1.083"
2088,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 17:35:00,51,4,7,62,64.2,1.07,High,"line 2089: congestion_index out of [0,1]: 1.07"
2102,Tol Jagorawi,KM 10-13,2026-02-06 17:40:00,49,5,8,62,64.6,1.077,High,"line 2103: congestion_index out of [0,1]: 1.077"
2118,Tol Jakarta-Cikampek,KM 22-25,2026-02-06 17:45:00,47,6,8,61,63.8,1.063,High,"line 2119: congestion_index out of [0,1]: 1.063"
