measurement_id,congestion_index,status
115,0.82,Medium
116,0.767,Medium
117,0.893,Medium
118,0.8,Medium
119,0.713,Medium
120,0.83,Medium
121,0.777,Medium
122,0.677,Low
123,0.917,Medium
124,0.81,Medium
125,0.777,Medium
126,0.847,Medium
127,0.847,Medium
128,0.81,Medium
129,0.813,Medium
130,0.747,Medium
131,0.813,Medium
132,0.877,Medium
133,0.873,Medium
134,0.767,Medium
135,0.83,Medium
136,0.867,Medium
137,0.677,Low
138,0.9,Medium
139,0.813,Medium
140,0.807,Medium
141,0.93,Medium
142,0.777,Medium
143,0.847,Medium
144,0.89,Medium
145,0.803,Medium
146,0.73,Medium
147,0.917,Medium
148,0.867,Medium
149,0.863,Medium
150,0.88,Medium
151,0.85,Medium
152,0.88,Medium
153,0.857,Medium
154,0.883,Medium
155,0.777,Medium
156,0.947,Medium
157,0.827,Medium
158,0.907,Medium
159,0.987,Medium
160,0.947,Medium
161,0.77,Medium
162,0.923,Medium
163,0.803,Medium
164,0.833,Medium
165,0.937,Medium
166,0.787,Medium
167,0.79,Medium
168,0.883,Medium
169,0.947,Medium
170,0.8,Medium
171,0.987,Medium
172,0.9,Medium
173,0.81,Medium
174,0.953,Medium
175,0.87,Medium
176,0.887,Medium
177,0.933,Medium
178,0.947,Medium
179,0.943,Medium
180,0.87,Medium
181,0.823,Medium
182,0.903,Medium
183,0.99,Medium
184,0.867,Medium
185,0.827,Medium
186,0.907,Medium
187,0.95,Medium
188,0.893,Medium
189,0.927,Medium
190,0.807,Medium
191,0.99,Medium
192,0.907,Medium
193,0.887,Medium
194,0.847,Medium
195,0.97,Medium
196,0.94,Medium
197,0.963,Medium
198,0.957,Medium
199,0.917,Medium
200,0.953,Medium
201,0.9,Medium
202,0.96,Medium
203,0.86,Medium
204,0.927,Medium
205,0.937,Medium
206,0.99,Medium
207,0.993,Medium
208,0.993,Medium
209,0.88,Medium
210,0.913,Medium
211,0.943,Medium
212,0.9,Medium
213,0.88,Medium
214,0.96,Medium
215,0.967,Medium
216,0.907,Medium
217,0.957,Medium
218,0.98,Medium
219,0.913,Medium
220,0.877,Medium
221,0.863,Medium
222,0.987,Medium
223,0.943,Medium
224,1.0,High
225,0.943,Medium
226,0.927,Medium
227,0.93,Medium
228,0.867,Medium
229,0.94,Medium
230,0.96,Medium
231,0.99,Medium
232,0.92,Medium
233,0.923,Medium
234,0.99,Medium
235,1.0,High
236,0.977,Medium
237,0.983,Medium
238,0.91,Medium
239,0.907,Medium
240,0.93,Medium
241,1.0,High
242,0.983,Medium
243,0.96,Medium
244,0.987,Medium
245,0.873,Medium
246,0.987,Medium
247,0.933,Medium
248,0.983,Medium
249,0.87,Medium
250,0.97,Medium
251,0.913,Medium
252,0.957,Medium
253,0.973,Medium
254,0.957,Medium
255,0.96,Medium
256,0.927,Medium
257,0.88,Medium
258,0.91,Medium
259,1.0,High
260,0.883,Medium
261,0.94,Medium
262,0.857,Medium
263,0.923,Medium
264,0.923,Medium
265,0.937,Medium
266,0.97,Medium
267,0.997,Medium
268,0.923,Medium
269,0.98,Medium
270,0.897,Medium
271,0.96,Medium
272,0.91,Medium
273,0.937,Medium
274,0.917,Medium
275,0.95,Medium
276,0.953,Medium
277,0.923,Medium
278,0.993,Medium
279,0.86,Medium
280,0.83,Medium
281,0.897,Medium
282,0.943,Medium
283,0.87,Medium
284,0.97,Medium
285,0.947,Medium
286,0.833,Medium
287,0.9,Medium
288,0.933,Medium
289,0.873,Medium
290,0.857,Medium
291,0.897,Medium
292,0.99,Medium
293,0.97,Medium
294,0.853,Medium
295,0.907,Medium
296,0.907,Medium
297,0.863,Medium
298,0.94,Medium
299,0.82,Medium
300,0.78,Medium
301,0.933,Medium
302,0.92,Medium
303,0.817,Medium
304,0.94,Medium
305,0.83,Medium
306,0.807,Medium
307,0.973,Medium
308,0.947,Medium
309,0.817,Medium
310,0.923,Medium
311,0.883,Medium
312,0.807,Medium
313,0.9,Medium
314,0.847,Medium
315,0.75,Medium
316,0.92,Medium
317,0.833,Medium
318,0.847,Medium
319,0.847,Medium
320,0.857,Medium
321,0.87,Medium
322,0.893,Medium
323,0.79,Medium
324,0.977,Medium
325,0.85,Medium
326,0.74,Medium
327,0.89,Medium
328,0.79,Medium
329,0.807,Medium
330,0.88,Medium
331,0.817,Medium
332,0.77,Medium
333,0.813,Medium
334,0.773,Medium
335,0.743,Medium
336,0.847,Medium
337,0.837,Medium
338,0.65,Low
339,0.837,Medium
340,0.783,Medium
341,0.677,Low
342,0.95,Medium
343,0.847,Medium
344,0.787,Medium
345,0.807,Medium
346,0.767,Medium
347,0.68,Low
348,0.807,Medium
349,0.887,Medium
350,1.0,High
351,0.787,Medium
352,0.743,Medium
353,0.837,Medium
354,0.823,Medium
355,0.78,Medium
356,0.677,Low
357,0.83,Medium
358,0.663,Low
359,0.737,Medium
360,0.78,Medium
361,0.773,Medium
362,0.643,Low
363,0.83,Medium
364,0.903,Medium
365,0.72,Medium
366,0.773,Medium
367,0.743,Medium
368,0.767,Medium
369,0.763,Medium
370,0.79,Medium
371,0.707,Medium
372,0.817,Medium
373,0.78,Medium
374,0.613,Low
375,0.813,Medium
376,0.69,Low
377,0.637,Low
378,0.767,Medium
379,0.73,Medium
380,0.647,Low
381,0.707,Medium
382,0.763,Medium
383,0.61,Low
384,0.773,Medium
385,0.717,Medium
386,0.663,Low
387,0.733,Medium
388,0.677,Low
389,0.637,Low
390,0.81,Medium
391,0.71,Medium
392,0.603,Low
393,0.713,Medium
394,0.71,Medium
395,0.687,Low
396,0.753,Medium
397,0.747,Medium
398,0.607,Low
399,0.797,Medium
400,0.73,Medium
401,0.577,Low
402,0.68,Low
403,0.69,Low
404,0.64,Low
405,0.717,Medium
406,0.57,Low
407,0.583,Low
408,0.673,Low
409,0.613,Low
410,0.573,Low
411,0.67,Low
412,0.633,Low
413,0.613,Low
414,0.713,Medium
415,0.663,Low
416,0.69,Low
417,0.7,Medium
418,0.57,Low
419,0.6,Low
420,0.7,Medium
421,0.583,Low
422,0.577,Low
423,0.807,Medium
424,0.66,Low
425,0.64,Low
426,0.66,Low
427,0.677,Low
428,0.623,Low
429,0.573,Low
430,0.613,Low
431,0.617,Low
432,0.657,Low
433,0.713,Medium
434,0.57,Low
435,0.65,Low
436,0.567,Low
437,0.593,Low
438,0.797,Medium
439,0.61,Low
440,0.49,Low
441,0.687,Low
442,0.607,Low
443,0.527,Low
444,0.653,Low
445,0.627,Low
446,0.557,Low
447,0.703,Medium
448,0.54,Low
449,0.523,Low
450,0.657,Low
451,0.643,Low
452,0.607,Low
453,0.57,Low
454,0.687,Low
455,0.513,Low
456,0.71,Medium
457,0.47,Low
458,0.42,Low
459,0.593,Low
460,0.587,Low
461,0.547,Low
462,0.62,Low
463,0.55,Low
464,0.57,Low
465,0.577,Low
466,0.583,Low
467,0.523,Low
468,0.663,Low
469,0.533,Low
470,0.547,Low
471,0.547,Low
472,0.53,Low
473,0.54,Low
474,0.57,Low
475,0.577,Low
476,0.523,Low
477,0.53,Low
478,0.65,Low
479,0.487,Low
480,0.64,Low
481,0.533,Low
482,0.483,Low
483,0.537,Low
484,0.593,Low
485,0.467,Low
486,0.697,Low
487,0.49,Low
488,0.523,Low
489,0.657,Low
490,0.593,Low
491,0.427,Low
492,0.613,Low
493,0.523,Low
494,0.58,Low
495,0.577,Low
496,0.507,Low
497,0.57,Low
498,0.513,Low
499,0.48,Low
500,0.43,Low
501,0.623,Low
502,0.573,Low
503,0.867,Medium
504,0.52,Low
505,0.793,Medium
506,0.553,Low
507,0.48,Low
508,0.687,Low
509,0.497,Low
510,0.523,Low
511,0.58,Low
512,0.467,Low
513,0.503,Low
514,0.52,Low
515,0.48,Low
516,0.61,Low
517,0.557,Low
518,0.513,Low
519,0.533,Low
520,0.557,Low
521,0.423,Low
522,0.67,Low
523,0.517,Low
524,0.47,Low
525,0.533,Low
526,0.52,Low
527,0.52,Low
528,0.55,Low
529,0.52,Low
530,0.48,Low
531,0.473,Low
532,0.457,Low
533,0.497,Low
534,0.457,Low
535,0.463,Low
536,0.45,Low
537,0.55,Low
538,0.503,Low
539,0.483,Low
540,0.513,Low
541,0.447,Low
542,0.533,Low
543,0.62,Low
544,0.597,Low
545,0.473,Low
546,0.537,Low
547,0.483,Low
548,0.44,Low
549,0.483,Low
550,0.43,Low
551,0.48,Low
552,0.473,Low
553,0.467,Low
554,0.403,Low
555,0.563,Low
556,0.483,Low
557,0.457,Low
558,0.593,Low
559,0.45,Low
560,0.5,Low
561,0.54,Low
562,0.55,Low
563,0.497,Low
564,0.433,Low
565,0.553,Low
566,0.463,Low
567,0.47,Low
568,0.523,Low
569,0.393,Low
570,0.55,Low
571,0.503,Low
572,0.47,Low
573,0.557,Low
574,0.61,Low
575,0.61,Low
576,0.547,Low
577,0.547,Low
578,0.583,Low
579,0.543,Low
580,0.567,Low
581,0.497,Low
582,0.507,Low
583,0.747,Medium
584,0.5,Low
585,0.487,Low
586,0.547,Low
587,0.483,Low
588,0.527,Low
589,0.427,Low
590,0.473,Low
591,0.49,Low
592,0.437,Low
593,0.6,Low
594,0.517,Low
595,0.493,Low
596,0.433,Low
597,0.503,Low
598,0.517,Low
599,0.47,Low
600,0.487,Low
601,0.613,Low
602,0.57,Low
603,0.493,Low
604,0.537,Low
605,0.48,Low
606,0.57,Low
607,0.52,Low
608,0.487,Low
609,0.557,Low
610,0.443,Low
611,0.367,Low
612,0.483,Low
613,0.55,Low
614,0.437,Low
615,0.5,Low
616,0.483,Low
617,0.477,Low
618,0.497,Low
619,0.483,Low
620,0.35,Low
621,0.483,Low
622,0.523,Low
623,0.483,Low
624,0.557,Low
625,0.587,Low
626,0.48,Low
627,0.55,Low
628,0.53,Low
629,0.397,Low
630,0.5,Low
631,0.5,Low
632,0.5,Low
633,0.483,Low
634,0.57,Low
635,0.413,Low
636,0.413,Low
637,0.527,Low
638,0.437,Low
639,0.467,Low
640,0.497,Low
641,0.447,Low
642,0.5,Low
643,0.55,Low
644,0.437,Low
645,0.5,Low
646,0.413,Low
647,0.457,Low
648,0.52,Low
649,0.463,Low
650,0.447,Low
651,0.537,Low
652,0.49,Low
653,0.467,Low
654,0.513,Low
655,0.47,Low
656,0.45,Low
657,0.493,Low
658,0.483,Low
659,0.443,Low
660,0.577,Low
661,0.567,Low
662,0.607,Low
663,0.553,Low
664,0.523,Low
665,0.41,Low
666,0.537,Low
667,0.593,Low
668,0.45,Low
669,0.47,Low
670,0.367,Low
671,0.393,Low
672,0.467,Low
673,0.363,Low
674,0.487,Low
675,0.48,Low
676,0.513,Low
677,0.48,Low
678,0.453,Low
679,0.493,Low
680,0.443,Low
681,0.463,Low
682,0.467,Low
683,0.397,Low
684,0.527,Low
685,0.763,Medium
686,0.477,Low
687,0.477,Low
688,0.477,Low
689,0.507,Low
690,0.503,Low
691,0.48,Low
692,0.383,Low
693,0.493,Low
694,0.507,Low
695,0.48,Low
696,0.483,Low
697,0.513,Low
698,0.497,Low
699,0.557,Low
700,0.46,Low
701,0.533,Low
702,0.577,Low
703,0.58,Low
704,0.55,Low
705,0.423,Low
706,0.527,Low
707,0.43,Low
708,0.45,Low
709,0.813,Medium
710,0.443,Low
711,0.48,Low
712,0.463,Low
713,0.5,Low
714,0.557,Low
715,0.553,Low
716,0.437,Low
717,0.587,Low
718,0.547,Low
719,0.667,Low
720,0.52,Low
721,0.407,Low
722,0.477,Low
723,0.533,Low
724,0.517,Low
725,0.503,Low
726,0.45,Low
727,0.553,Low
728,0.483,Low
729,0.553,Low
730,0.5,Low
731,0.39,Low
732,0.547,Low
733,0.483,Low
734,0.343,Low
735,0.567,Low
736,0.487,Low
737,0.607,Low
738,0.557,Low
739,0.55,Low
740,0.347,Low
741,0.457,Low
742,0.553,Low
743,0.42,Low
744,0.417,Low
745,0.48,Low
746,0.407,Low
747,0.56,Low
748,0.493,Low
749,0.463,Low
750,0.523,Low
751,0.543,Low
752,0.433,Low
753,0.5,Low
754,0.507,Low
755,0.463,Low
756,0.883,Medium
757,0.493,Low
758,0.39,Low
759,0.467,Low
760,0.443,Low
761,0.38,Low
762,0.47,Low
763,0.42,Low
764,0.437,Low
765,0.49,Low
766,0.55,Low
767,0.373,Low
768,0.573,Low
769,0.48,Low
770,0.447,Low
771,0.54,Low
772,0.447,Low
773,0.397,Low
774,0.497,Low
775,0.503,Low
776,0.45,Low
777,0.507,Low
778,0.487,Low
779,0.413,Low
780,0.497,Low
781,0.447,Low
782,0.44,Low
783,0.567,Low
784,0.537,Low
785,0.483,Low
786,0.553,Low
787,0.483,Low
788,0.563,Low
789,0.48,Low
790,0.45,Low
791,0.397,Low
792,0.537,Low
793,0.38,Low
794,0.543,Low
795,0.503,Low
796,0.52,Low
797,0.46,Low
798,0.503,Low
799,0.567,Low
800,0.517,Low
801,0.557,Low
802,0.507,Low
803,0.483,Low
804,0.567,Low
805,0.443,Low
806,0.4,Low
807,0.54,Low
808,0.567,Low
809,0.467,Low
810,0.513,Low
811,0.497,Low
812,0.357,Low
813,0.477,Low
814,0.527,Low
815,0.497,Low
816,0.513,Low
817,0.427,Low
818,0.537,Low
819,0.493,Low
820,0.46,Low
821,0.45,Low
822,0.463,Low
823,0.437,Low
824,0.467,Low
825,0.537,Low
826,0.48,Low
827,0.483,Low
828,0.453,Low
829,0.467,Low
830,0.45,Low
831,0.553,Low
832,0.503,Low
833,0.393,Low
834,0.54,Low
835,0.627,Low
836,0.497,Low
837,0.517,Low
838,0.507,Low
839,0.493,Low
840,0.527,Low
841,0.467,Low
842,0.493,Low
843,0.45,Low
844,0.483,Low
845,0.383,Low
846,0.567,Low
847,0.513,Low
848,0.5,Low
849,0.503,Low
850,0.503,Low
851,0.473,Low
852,0.557,Low
853,0.377,Low
854,0.383,Low
855,0.567,Low
856,0.493,Low
857,0.493,Low
858,0.56,Low
859,0.55,Low
860,0.64,Low
861,0.51,Low
862,0.483,Low
863,0.43,Low
864,0.503,Low
865,0.45,Low
866,0.487,Low
867,0.447,Low
868,0.437,Low
869,0.503,Low
870,0.5,Low
871,0.497,Low
872,0.4,Low
873,0.5,Low
874,0.47,Low
875,0.503,Low
876,0.557,Low
877,0.463,Low
878,0.44,Low
879,0.557,Low
880,0.38,Low
881,0.41,Low
882,0.587,Low
883,0.57,Low
884,0.503,Low
885,0.593,Low
886,0.52,Low
887,0.463,Low
888,0.58,Low
889,0.433,Low
890,0.393,Low
891,0.463,Low
892,0.493,Low
893,0.483,Low
894,0.703,Medium
895,0.503,Low
896,0.473,Low
897,0.597,Low
898,0.41,Low
899,0.47,Low
900,0.677,Low
901,0.517,Low
902,0.427,Low
903,0.533,Low
904,0.533,Low
905,0.527,Low
906,0.58,Low
907,0.447,Low
908,0.427,Low
909,0.587,Low
910,0.517,Low
911,0.48,Low
912,0.467,Low
913,0.463,Low
914,0.53,Low
915,0.477,Low
916,0.42,Low
917,0.513,Low
918,0.503,Low
919,0.473,Low
920,0.46,Low
921,0.603,Low
922,0.443,Low
923,0.48,Low
924,0.463,Low
925,0.787,Medium
926,0.363,Low
927,0.46,Low
928,0.52,Low
929,0.43,Low
930,0.507,Low
931,0.483,Low
932,0.49,Low
933,0.53,Low
934,0.59,Low
935,0.57,Low
936,0.547,Low
937,0.483,Low
938,0.573,Low
939,0.547,Low
940,0.483,Low
941,0.43,Low
942,0.443,Low
943,0.52,Low
944,0.543,Low
945,0.513,Low
946,0.52,Low
947,0.48,Low
948,0.56,Low
949,0.47,Low
950,0.507,Low
951,0.483,Low
952,0.923,Medium
953,0.497,Low
954,0.43,Low
955,0.45,Low
956,0.457,Low
957,0.55,Low
958,0.5,Low
959,0.437,Low
960,0.577,Low
961,0.567,Low
962,0.517,Low
963,0.49,Low
964,0.523,Low
965,0.447,Low
966,0.453,Low
967,0.55,Low
968,0.413,Low
969,0.51,Low
970,0.56,Low
971,0.4,Low
972,0.527,Low
973,0.56,Low
974,0.363,Low
975,0.57,Low
976,0.507,Low
977,0.553,Low
978,0.5,Low
979,0.573,Low
980,0.497,Low
981,0.48,Low
982,0.493,Low
983,0.47,Low
984,0.553,Low
985,0.493,Low
986,0.38,Low
987,0.507,Low
988,0.38,Low
989,0.463,Low
990,0.523,Low
991,0.49,Low
992,0.55,Low
993,0.52,Low
994,0.537,Low
995,0.44,Low
996,0.577,Low
997,0.623,Low
998,0.52,Low
999,0.573,Low
1000,0.39,Low
1001,0.53,Low
1002,0.597,Low
1003,0.487,Low
1004,0.467,Low
1005,0.507,Low
1006,0.76,Medium
1007,0.43,Low
1008,0.527,Low
1009,0.537,Low
1010,0.497,Low
1011,0.55,Low
1012,0.493,Low
1013,0.453,Low
1014,0.52,Low
1015,0.84,Medium
1016,0.54,Low
1017,0.463,Low
1018,0.537,Low
1019,0.343,Low
1020,0.58,Low
1021,0.457,Low
1022,0.43,Low
1023,0.587,Low
1024,0.45,Low
1025,0.51,Low
1026,0.487,Low
1027,0.517,Low
1028,0.457,Low
1029,0.503,Low
1030,0.483,Low
1031,0.577,Low
1032,0.487,Low
1033,0.477,Low
1034,0.41,Low
1035,0.567,Low
1036,0.543,Low
1037,0.463,Low
1038,0.543,Low
1039,0.553,Low
1040,0.447,Low
1041,0.527,Low
1042,0.513,Low
1043,0.48,Low
1044,0.55,Low
1045,0.567,Low
1046,0.427,Low
1047,0.547,Low
1048,0.49,Low
1049,0.457,Low
1050,0.503,Low
1051,0.523,Low
1052,0.483,Low
1053,0.463,Low
1054,0.453,Low
1055,0.463,Low
1056,0.523,Low
1057,0.847,Medium
1058,0.503,Low
1059,0.43,Low
1060,0.603,Low
1061,0.503,Low
1062,0.583,Low
1063,0.453,Low
1064,0.48,Low
1065,0.51,Low
1066,0.497,Low
1067,0.437,Low
1068,0.55,Low
1069,0.52,Low
1070,0.48,Low
1071,0.5,Low
1072,0.527,Low
1073,0.483,Low
1074,0.52,Low
1075,0.52,Low
1076,0.467,Low
1077,0.497,Low
1078,0.517,Low
1079,0.43,Low
1080,0.5,Low
1081,0.507,Low
1082,0.417,Low
1083,0.52,Low
1084,0.45,Low
1085,0.54,Low
1086,0.48,Low
1087,0.503,Low
1088,0.393,Low
1089,0.5,Low
1090,0.537,Low
1091,0.4,Low
1092,0.517,Low
1093,0.503,Low
1094,0.703,Medium
1095,0.687,Low
1096,0.49,Low
1097,0.5,Low
1098,0.52,Low
1099,0.463,Low
1100,0.533,Low
1101,0.497,Low
1102,0.53,Low
1103,0.497,Low
1104,0.52,Low
1105,0.463,Low
1106,0.463,Low
1107,0.823,Medium
1108,0.54,Low
1109,0.463,Low
1110,0.487,Low
1111,0.563,Low
1112,0.457,Low
1113,0.677,Low
1114,0.413,Low
1115,0.43,Low
1116,0.533,Low
1117,0.48,Low
1118,0.433,Low
1119,0.45,Low
1120,0.52,Low
1121,0.397,Low
1122,0.687,Low
1123,0.537,Low
1124,0.577,Low
1125,0.493,Low
1126,0.52,Low
1127,0.45,Low
1128,0.593,Low
1129,0.54,Low
1130,0.57,Low
1131,0.54,Low
1132,0.5,Low
1133,0.49,Low
1134,0.517,Low
1135,0.547,Low
1136,0.5,Low
1137,0.583,Low
1138,0.573,Low
1139,0.343,Low
1140,0.503,Low
1141,0.493,Low
1142,0.457,Low
1143,0.483,Low
1144,0.44,Low
1145,0.46,Low
1146,0.853,Medium
1147,0.533,Low
1148,0.417,Low
1149,0.693,Low
1150,0.537,Low
1151,0.383,Low
1152,0.547,Low
1153,0.49,Low
1154,0.533,Low
1155,0.52,Low
1156,0.45,Low
1157,0.48,Low
1158,0.573,Low
1159,0.51,Low
1160,0.5,Low
1161,0.48,Low
1162,0.523,Low
1163,0.52,Low
1164,0.557,Low
1165,0.493,Low
1166,0.5,Low
1167,0.453,Low
1168,0.517,Low
1169,0.497,Low
1170,0.607,Low
1171,0.433,Low
1172,0.53,Low
1173,0.587,Low
1174,0.557,Low
1175,0.447,Low
1176,0.597,Low
1177,0.557,Low
1178,0.483,Low
1179,0.517,Low
1180,0.603,Low
1181,0.483,Low
1182,0.52,Low
1183,0.443,Low
1184,0.497,Low
1185,0.567,Low
1186,0.507,Low
1187,0.463,Low
1188,0.553,Low
1189,0.51,Low
1190,0.497,Low
1191,0.44,Low
1192,0.527,Low
1193,0.417,Low
1194,0.517,Low
1195,0.51,Low
1196,0.447,Low
1197,0.567,Low
1198,0.5,Low
1199,0.417,Low
1200,0.537,Low
1201,0.51,Low
1202,0.813,Medium
1203,0.573,Low
1204,0.563,Low
1205,0.48,Low
1206,0.53,Low
1207,0.55,Low
1208,0.483,Low
1209,0.58,Low
1210,0.53,Low
1211,0.583,Low
1212,0.443,Low
1213,0.55,Low
1214,0.497,Low
1215,0.47,Low
1216,0.61,Low
1217,0.383,Low
1218,0.517,Low
1219,0.483,Low
1220,0.453,Low
1221,0.633,Low
1222,0.467,Low
1223,0.59,Low
1224,0.517,Low
1225,0.467,Low
1226,0.5,Low
1227,0.497,Low
1228,0.497,Low
1229,0.433,Low
1230,0.417,Low
1231,0.477,Low
1232,0.54,Low
1233,0.463,Low
1234,0.487,Low
1235,0.657,Low
1236,0.577,Low
1237,0.48,Low
1238,0.437,Low
1239,0.763,Medium
1240,0.547,Low
1241,0.507,Low
1242,0.537,Low
1243,0.513,Low
1244,0.58,Low
1245,0.533,Low
1246,0.557,Low
1247,0.457,Low
1248,0.54,Low
1249,0.543,Low
1250,0.587,Low
1251,0.517,Low
1252,0.45,Low
1253,0.547,Low
1254,0.627,Low
1255,0.42,Low
1256,0.497,Low
1257,0.483,Low
1258,0.433,Low
1259,0.46,Low
1260,0.537,Low
1261,0.503,Low
1262,0.403,Low
1263,0.603,Low
1264,0.483,Low
1265,0.5,Low
1266,0.48,Low
1267,0.673,Low
1268,0.483,Low
1269,0.527,Low
1270,0.433,Low
1271,0.483,Low
1272,0.623,Low
1273,0.477,Low
1274,0.427,Low
1275,0.573,Low
1276,0.46,Low
1277,0.417,Low
1278,0.763,Medium
1279,0.51,Low
1280,0.43,Low
1281,0.467,Low
1282,0.45,Low
1283,0.51,Low
1284,0.567,Low
1285,0.453,Low
1286,0.413,Low
1287,0.587,Low
1288,0.523,Low
1289,0.437,Low
1290,0.573,Low
1291,0.583,Low
1292,0.423,Low
1293,0.533,Low
1294,0.52,Low
1295,0.463,Low
1296,0.537,Low
1297,0.503,Low
1298,0.417,Low
1299,0.57,Low
1300,0.49,Low
1301,0.473,Low
1302,0.61,Low
1303,0.507,Low
1304,0.43,Low
1305,0.56,Low
1306,0.52,Low
1307,0.42,Low
1308,0.493,Low
1309,0.447,Low
1310,0.42,Low
1311,0.523,Low
1312,0.453,Low
1313,0.413,Low
1314,0.643,Low
1315,0.54,Low
1316,0.477,Low
1317,0.437,Low
1318,0.55,Low
1319,0.52,Low
1320,0.467,Low
1321,0.503,Low
1322,0.52,Low
1323,0.503,Low
1324,0.447,Low
1325,0.51,Low
1326,0.537,Low
1327,0.483,Low
1328,0.553,Low
1329,0.47,Low
1330,0.463,Low
1331,0.433,Low
1332,0.463,Low
1333,0.44,Low
1334,0.45,Low
1335,0.503,Low
1336,0.533,Low
1337,0.377,Low
1338,0.4,Low
1339,0.43,Low
1340,0.413,Low
1341,0.413,Low
1342,0.453,Low
1343,0.487,Low
1344,0.46,Low
1345,0.45,Low
1346,0.437,Low
1347,0.57,Low
1348,0.5,Low
1349,0.487,Low
1350,0.543,Low
1351,0.557,Low
1352,0.48,Low
1353,0.563,Low
1354,0.517,Low
1355,0.49,Low
1356,0.553,Low
1357,0.553,Low
1358,0.527,Low
1359,0.503,Low
1360,0.533,Low
1361,0.503,Low
1362,0.53,Low
1363,0.5,Low
1364,0.533,Low
1365,0.55,Low
1366,0.5,Low
1367,0.487,Low
1368,0.443,Low
1369,0.583,Low
1370,0.533,Low
1371,0.523,Low
1372,0.557,Low
1373,0.533,Low
1374,0.593,Low
1375,0.557,Low
1376,0.49,Low
1377,0.517,Low
1378,0.497,Low
1379,0.473,Low
1380,0.467,Low
1381,0.52,Low
1382,0.467,Low
1383,0.49,Low
1384,0.607,Low
1385,0.43,Low
1386,0.503,Low
1387,0.547,Low
1388,0.443,Low
1389,0.523,Low
1390,0.503,Low
1391,0.493,Low
1392,0.533,Low
1393,0.553,Low
1394,0.503,Low
1395,0.543,Low
1396,0.557,Low
1397,0.5,Low
1398,0.447,Low
1399,0.483,Low
1400,0.43,Low
1401,0.517,Low
1402,0.517,Low
1403,0.51,Low
1404,0.5,Low
1405,0.57,Low
1406,0.487,Low
1407,0.55,Low
1408,0.507,Low
1409,0.423,Low
1410,0.483,Low
1411,0.557,Low
1412,0.463,Low
1413,0.533,Low
1414,0.447,Low
1415,0.427,Low
1416,0.45,Low
1417,0.547,Low
1418,0.453,Low
1419,0.76,Medium
1420,0.49,Low
1421,0.573,Low
1422,0.733,Medium
1423,0.517,Low
1424,0.45,Low
1425,0.517,Low
1426,0.563,Low
1427,0.483,Low
1428,0.44,Low
1429,0.573,Low
1430,0.573,Low
1431,0.607,Low
1432,0.53,Low
1433,0.48,Low
1434,0.517,Low
1435,0.57,Low
1436,0.393,Low
1437,0.53,Low
1438,0.523,Low
1439,0.4,Low
1440,0.553,Low
1441,0.573,Low
1442,0.55,Low
1443,0.453,Low
1444,0.483,Low
1445,0.453,Low
1446,0.573,Low
1447,0.503,Low
1448,0.5,Low
1449,0.507,Low
1450,0.553,Low
1451,0.427,Low
1452,0.443,Low
1453,0.487,Low
1454,0.487,Low
1455,0.48,Low
1456,0.6,Low
1457,0.457,Low
1458,0.517,Low
1459,0.497,Low
1460,0.5,Low
1461,0.453,Low
1462,0.46,Low
1463,0.41,Low
1464,0.56,Low
1465,0.52,Low
